id,total_men,total_women,total_pop,age_0_10,age_11_19,age_20_39,age_40_59,age_60_and_over,age1,age2,age3,age4,age5,illiteracy,illiteracy11_19,illiteracy20_39,illiteracy40_59,illiteracy_60,illiteracy_m,illiteracy_f,illiteracy_m_11_19,illiteracy_f_11_19,illiteracy_m_21_39,illiteracy_f_21_39,illiteracy_m_40_59,illiteracy_f_40_59,illiteracy_m_60,illiteracy_f_60,orthodox,protestant,rcatholic,muslim,otherrel,orthd,cthlc,evngl,muslm,othr_r,s_lang_srb_cro_svn,s_lang_othr_slavic,s_lang_hungarian,s_lang_german,s_lang_albanian,s_lang_other,t_employed_agriculture_perc,t_employed_agriculture_men_perc,t_employed_agriculture_women_perc,t_employed_industry_perc,t_employed_industry_men_perc,t_employed_industry_women_perc,t_employed_commerce_perc,t_employed_commerce_men_perc,t_employed_commerce_women_perc,t_employed_public_service_perc,t_employed_public_service_men_perc,t_employed_public_service_women_perc,t_employed_other_perc,t_employed_other_men_perc,t_employed_other_women_perc
112,28425,29220,57645,16185,8584,18135,10390,4351,28.1,14.9,31.5,18,7.5,17.3,8.434296365,12.73779983,20.09624639,46.72489083,13.4,20.9,7.5,9.4,10.1,15.3,14.3,25.4,37.4,55.8,56.5,0.8,41.7,0.1,0.94,32568,24019,485,30,543,64.34,0.75,6.51,27.74,0.010,0.65,51.11853088,47.34555985,59.58829902,13.02170284,16.02316602,6.283856988,5.742904841,6.563706564,3.900325027,9.38230384,9.797297297,8.450704225,20.7345576,20.27027027,21.77681473
113,20408,20656,41064,9993,6249,13028,7800,3994,24.3,15.2,31.7,19,9.7,14.9,8.257321171,7.852318084,16.57692308,45.09263896,11.3,18.4,8.7,7.8,5.8,9.9,11.4,21.3,33.4,56.7,21.3,0.3,76.8,0,1.63,8751,31529,109,6,669,23.79,2.44,72.34,0.68,0.002,0.75,69.00234742,69.45364238,67.90322581,16.72535211,18.92384106,11.37096774,4.002347418,4.28807947,3.306451613,3.626760563,3.377483444,4.233870968,6.643192488,3.956953642,13.18548387
114,16739,17614,34353,8785,4943,10921,6559,3145,25.6,14.4,31.8,19.1,9.2,20.2,9.467934453,13.89066935,24.79036438,49.50715421,17,23.2,9.4,9.5,11.2,16.6,19.8,29.2,44.1,54.7,45.3,4.6,41.4,0,8.64,15574,14211,1588,13,2967,78.90,10.84,0.94,8.87,0.003,0.44,82.19769478,77.56382914,91.53770572,10.81334257,14.96557187,2.444116925,3.380442308,4.125281823,1.879145173,2.341872684,2.510511242,2.001965119,1.26664766,0.834805923,2.13706706
115,32710,34425,67135,14906,9255,20904,14267,7803,22.2,13.8,31.1,21.3,11.6,16.4,9.972987574,10.8974359,17.8243499,36.2809176,13.2,19.4,9.8,10.1,9,12.7,13.6,21.5,27.9,44.1,13,6.6,79.3,0,1.00,8752,53232,4452,26,673,26.64,0.39,27.32,45.45,0.010,0.19,73.13989132,72.00929727,75.8336279,3.786401003,1.716037783,8.719217627,5.050856904,5.776173285,3.322728879,3.768984255,3.728796795,3.8647343,3.375365752,1.325354829,8.259691293
116,16426,16625,33051,9269,4912,10337,5986,2547,28,14.9,31.3,18.1,7.7,28.4,12.60179153,22.53071491,38.64016037,58.61798194,22.9,33.8,11.5,13.7,17.7,27.3,30.1,46.6,48.1,70.3,87.2,1.1,10.4,0.1,1.26,28823,3439,355,17,417,90.36,1.15,2.25,6.00,0.000,0.24,51.17449997,49.70090878,54.44338118,20.39962733,22.85171977,14.96012759,11.41990604,12.87242609,8.197767145,8.390984598,9.151041068,6.704944179,8.61498206,5.423904291,15.6937799
117,25171,26515,51686,14651,7754,15885,9241,4155,28.3,15,30.7,17.9,8,16.8,7.647665721,10.28643374,23.25505898,44.35619735,14,19.4,7.1,8.1,8.4,12.1,19,26.9,37.8,50.7,54,30.5,14.7,0,0.83,27903,7598,15748,9,428,64.54,13.34,1.03,19.83,0.006,1.26,89.84915355,86.70593185,95.11722193,4.380475594,6.268405553,1.216287678,1.640208155,2.408498107,0.352547153,2.331862196,2.976440892,1.251542394,1.798300507,1.640723601,2.062400846
118,28504,29470,57974,13468,9128,18869,11007,5502,23.2,15.7,32.5,19,9.5,17.9,11.74408414,12.67687742,18.71536295,44.1475827,14,21.6,12,11.5,10.5,14.8,12.7,24.1,32,55.9,42.6,1.3,54.1,0,1.93,24716,31387,744,10,1117,43.78,0.67,53.43,1.47,0.005,0.64,79.79068635,76.40075973,87.10917478,10.93623235,14.45868946,3.331624808,3.991562551,4.807692308,2.229625833,3.099140029,3.323836657,2.61404408,2.182378712,1.009021842,4.715530497
119,48708,51350,100058,21919,15511,34705,19303,8620,21.9,15.5,34.7,19.3,8.6,22.3,11.29520985,15.07851895,29.66378283,54.80278422,17.4,26.9,10.5,12.1,11.6,18.4,21.6,36.9,46.8,61.4,10,1.3,84.2,0.2,4.29,9993,84268,1274,235,4288,53.80,1.23,41.38,2.86,0.109,0.62,85.87768284,83.75483487,90.35564854,8.363049183,10.79043935,3.242677824,2.442306398,2.905881186,1.464435146,2.132813026,2.033125062,2.343096234,1.184148557,0.515719528,2.594142259
120,15521,16495,32016,10314,4471,9899,5340,1992,32.2,14,30.9,16.7,6.2,53.1,37.19525833,48.92413375,64.40074906,79.51807229,22.6,80.4,9.5,62.8,16.4,79.1,31.7,90.6,60.7,96.3,99.6,0,0.3,0.1,0.05,31879,100,0,20,17,99.39,0.19,0.01,0.03,0.053,0.32,53.18782309,52.53072277,54.64632455,20.58443423,24.25536347,12.43643088,9.168581275,10.49781296,6.218215442,8.529580701,9.248073318,6.93481276,8.529580701,3.468027494,19.76421637
121,12613,13192,25805,6923,3578,7818,4828,2658,26.8,13.9,30.3,18.7,10.3,19.8,8.971492454,14.31312356,23.65368683,43.26561324,14.6,24.6,8,9.9,11.2,17.3,15.5,31,31.8,54.1,66.7,12.9,18.5,0,1.87,17217,4771,3332,2,483,70.42,0.74,13.65,15.11,0.000,0.08,85.56768416,82.78145695,91.65365803,8.373096281,11.02482253,2.580913727,2.395581411,2.992043451,1.09272557,2.40865416,2.491781409,2.22707878,1.254983986,0.70989566,2.445623894
