id,total_men,total_women,total_pop,age_0_10,age_11_19,age_20_39,age_40_59,age_60_and_over,age1,age2,age3,age4,age5,illiteracy,illiteracy11_19,illiteracy20_39,illiteracy40_59,illiteracy_60,illiteracy_m,illiteracy_f,illiteracy_m_11_19,illiteracy_f_11_19,illiteracy_m_21_39,illiteracy_f_21_39,illiteracy_m_40_59,illiteracy_f_40_59,illiteracy_m_60,illiteracy_f_60,orthodox,protestant,rcatholic,muslim,otherrel,orthd,cthlc,evngl,muslm,othr_r,s_lang_srb_cro_svn,s_lang_othr_slavic,s_lang_hungarian,s_lang_german,s_lang_albanian,s_lang_other,t_employed_agriculture_perc,t_employed_agriculture_men_perc,t_employed_agriculture_women_perc,t_employed_industry_perc,t_employed_industry_men_perc,t_employed_industry_women_perc,t_employed_commerce_perc,t_employed_commerce_men_perc,t_employed_commerce_women_perc,t_employed_public_service_perc,t_employed_public_service_men_perc,t_employed_public_service_women_perc,t_employed_other_perc,t_employed_other_men_perc,t_employed_other_women_perc
149,56834,52148,108982,32169,16065,35994,17543,7211,29.5,14.7,33,16.1,6.6,53.3,41.94211018,49.28877035,60.40015961,81.13992511,33.9,74.7,20.3,65.1,29.4,73,40.9,79.5,71.3,91.9,94.5,0,2.3,2.8,0.40,102970,2486,50,3043,433,95.67,0.83,0.23,0.31,0.163,2.80,61.88082463,54.85864775,78.31226813,15.90887697,18.74395356,9.274979564,5.198154947,6.8606901,1.307929322,9.89739245,12.8910029,2.892535999,7.114751012,6.645705686,8.21228699
150,35711,37048,72759,23833,10851,20798,11249,6028,32.8,14.9,28.6,15.5,8.3,61.9,44.20790711,59.98653717,70.166237,84.70471135,37.9,84.3,22.8,64.9,32,85.9,42.9,92.5,73.3,98,98.2,0,0.4,1.2,0.16,71459,295,3,887,115,98.51,0.11,0.01,0.02,0.170,1.17,83.78314534,80.59984288,89.41686432,8.557255064,9.603031563,6.706469289,1.748065907,2.564813531,0.30260898,3.696923168,5.161976062,1.104113846,2.214610524,2.070335967,2.469943568
151,17433,17498,34931,10072,4959,11498,5803,2599,28.8,14.2,32.9,16.6,7.4,59.3,44.48477516,56.33153592,68.24056522,80.26163909,37,81.2,22.6,66.5,32.7,80.8,45.3,88.5,67.1,92.9,97.3,0.1,2.5,0.1,0.06,33975,857,40,38,21,98.04,0.61,0.21,0.51,0.054,0.58,79.54585878,74.8797341,89.36326831,12.58670777,15.88384501,5.649613544,2.976225766,4.110907024,0.588884799,2.869508508,3.656083268,1.214574899,2.021699176,1.469430596,3.183658447
152,7545,8004,15549,4360,1912,5049,2820,1408,28,12.3,32.5,18.1,9.1,68.5,61.03556485,64.70588235,71.27659574,86.29261364,51.5,83.9,46.6,74.4,47.7,81.6,51.1,87.1,73.8,97.1,99.7,0,0.2,0.1,0.03,15496,30,1,18,4,97.01,0.62,0.08,0.05,0.000,2.25,87.39506651,83.42508848,94.99435454,7.774764303,10.7943374,1.9947309,1.291489087,1.907196225,0.112909296,1.407723105,1.887534408,0.489273617,2.130956993,1.985843492,2.408731652
153,29117,31446,60563,20934,10184,17370,8237,3838,34.6,16.8,28.7,13.6,6.3,61.7,48.61547526,58.55497985,72.70851038,87.05054716,33.6,86.3,21.7,75.5,27.5,86.2,44.1,93.1,74.9,97.8,98.9,0,0.2,0.9,0.00,59919,94,0,549,1,98.95,0.08,0.02,0.01,0.031,0.91,89.66065356,85.9080364,95.82072063,4.85361526,7.108440902,1.152231227,1.659766376,2.563797514,0.175764086,1.726304894,2.379394444,0.654232985,2.099659914,2.040330736,2.197051069
154,40501,41324,81825,26147,12063,25652,12969,4994,32,14.7,31.3,15.8,6.1,57.1,42.73397994,53.95290816,67.03678001,82.39887865,29.4,83.7,17.7,69.9,24.1,84.2,38.9,89.9,67.5,94.5,98.7,0,0.7,0.6,0.03,80731,567,24,477,26,98.41,0.25,0.08,0.14,0.029,1.10,82.487215,78.40519646,90.71485944,8.416790965,10.7794692,3.654618474,2.453121671,3.451024149,0.441767068,3.161623695,4.060731649,1.34939759,3.481248668,3.303578545,3.83935743
155,12211,11532,23743,6637,3664,7776,3862,1804,28,15.4,32.8,16.3,7.6,55.4,39.11026201,51.54320988,65.40652512,83.2594235,35.4,76.6,21.8,62.5,31.2,74.3,44.5,83.7,72.4,92.1,95.9,0,3.6,0.2,0.24,22776,846,8,57,56,91.79,1.51,0.25,0.35,0.076,6.02,67.73834019,60.53724054,84.71502591,13.57167353,17.03296703,5.411629246,5.238340192,7.045177045,0.978698906,4.741083676,5.860805861,2.101324122,8.710562414,9.523809524,6.793321819
156,12555,13225,25780,7738,3723,7865,4438,2016,30,14.4,30.5,17.2,7.8,61.4,41.12275047,59.61856325,69.96394772,86.9047619,33.7,86.9,15.2,66.8,28.7,88.3,39.2,95.3,75.9,97.7,99.8,0,0.1,0.1,0.00,25727,20,1,31,1,98.93,0.05,0.00,0.02,0.000,0.99,92.14600882,89.28303772,97.28638708,4.235860409,5.958031476,1.143754205,1.869233855,2.77292031,0.246692083,1.251504212,1.636272795,0.560663826,0.4973927,0.349737697,0.762502803
157,17414,19041,36455,9904,4660,11580,6834,3477,27.2,12.8,31.8,18.7,9.5,58.4,36.35193133,53.93782383,68.04214223,84.12424504,31.1,82.5,14.2,59.1,24.2,81.7,38.9,90.9,68.3,95.8,99.8,0,0.2,0,0.02,36390,58,1,0,6,93.66,0.16,0.02,0.03,0.000,6.14,89.4842781,87.2289568,93.44631074,5.456424763,7.469694383,1.919616077,1.47970841,2.142735189,0.314937013,1.719073006,2.245176712,0.794841032,1.860515722,0.913436913,3.524295141
158,13944,14926,28870,9234,4125,8187,4822,2502,32,14.3,28.4,16.7,8.7,74.9,60.19393939,74.76487114,81.31480713,87.17026379,52.1,95.4,32.7,86.1,48.1,96.7,59.8,98.9,77.8,99.6,99.8,0,0.1,0.1,0.00,28824,28,0,18,0,99.50,0.04,0.01,0.01,0.000,0.44,95.64388591,93.87992103,98.37925446,2.266308952,3.379398444,0.540248514,0.840158147,1.347114156,0.054024851,0.833097995,1.149692254,0.342157392,0.416548997,0.243874115,0.684314785
159,13280,14415,27695,8780,3721,8562,4652,1980,31.7,13.4,30.9,16.8,7.1,57.8,42.35420586,55.2090633,65.64918315,79.29292929,25,86.8,14,67,20.5,87.7,28.2,95.7,57.6,98.9,99.8,0,0,0.1,0.01,27645,12,1,35,2,98.18,0.06,0.00,0.00,0.000,1.75,93.58736059,91.97770238,96.43776824,4.25960347,5.344158992,2.339055794,0.882899628,1.357246728,0.042918455,0.851920694,1.078526418,0.450643777,0.418215613,0.242365487,0.729613734
160,7702,8964,16666,3443,1764,5211,3815,2433,20.7,10.6,31.3,22.9,14.6,64.6,24.48979592,56.78372673,77.56225426,89.97122894,38.1,86.6,8.6,39,20.3,87.8,49.4,97.5,79.9,99.5,99.9,0,0,0,0.00,16656,8,0,2,0,99.35,0.05,0.03,0.00,0.000,0.56,94.37671609,91.8510713,98.59278804,2.822624931,4.16227608,0.586338317,0.823723229,1.299613628,0.029316916,1.559582647,2.265542677,0.381119906,0.417353103,0.421496312,0.410436822
161,22468,23758,46226,15298,6450,14185,7354,2939,33.1,14,30.7,15.9,6.4,57.4,43.45736434,53.84561156,67.06554256,81.38822729,28.7,83.9,19.1,67,23.2,83.9,36.1,92.4,62.7,96.4,99.7,0,0.3,0,0.01,46079,117,6,19,5,99.02,0.22,0.04,0.06,0.004,0.66,89.98805828,87.38409871,94.91572258,4.85311679,6.665693217,1.42304504,2.044423215,2.942250128,0.345399282,1.514210652,1.76681025,1.036197845,1.600191068,1.241147697,2.279635258
162,16744,15504,32248,10763,6175,8943,4320,2047,33.4,19.1,27.7,13.4,6.3,84.6,80.84210526,81.61690708,90.625,96.33610161,74.9,94.6,72.5,90.9,69.4,94,82.9,97.8,92.5,99.6,27,0,0.5,72.4,0.02,8698,174,15,23353,8,27.51,0.10,0.02,0.06,63.771,8.54,87.24690239,84.28689031,95.4235361,5.945905107,7.882280305,0.596930074,1.223934723,1.65671949,0.028425242,2.440314294,3.138505865,0.511654349,3.142943487,3.035604034,3.439454235
163,20334,20683,41017,10242,5136,13003,8113,4523,25,12.5,31.7,19.8,11,61.4,35.84501558,55.93324617,73.20350055,84.98783993,37.5,84.4,18.2,55.3,26.2,85.1,48,93.3,74.3,96.7,98.5,0,1,0.4,0.01,40413,410,9,179,6,98.78,0.22,0.04,0.17,0.295,0.50,84.93634421,79.66936335,95.18270152,7.355264381,10.49595498,1.245381141,1.858563331,2.715441435,0.191597099,3.828640461,5.43088287,0.711646366,2.021187622,1.688357369,2.668673874
164,29649,28201,57850,11631,6773,19939,12425,7082,20.1,11.7,34.5,21.5,12.2,45.9,22.63398789,34.57545514,56.65191147,81.16351313,28.7,63.9,13.2,33.5,20.4,51.5,31.9,77.9,66.3,95,97.2,0.1,2.2,0.5,0.13,56202,1265,40,269,74,74.73,1.00,0.22,0.28,0.137,23.63,73.24224747,65.47941555,90.62966279,15.02916795,20.4645379,2.854869193,2.864599325,3.948128081,0.437680294,5.845870433,7.77634676,1.521933751,3.01811483,2.331571701,4.555853974
165,26861,26541,53402,16950,7507,17334,8446,3165,31.7,14.1,32.5,15.8,5.9,55.1,41.33475423,50.01730703,67.499408,82.49605055,29.8,80.4,18.9,65.4,24.8,78.2,40.1,90.6,66,94.9,98.3,0,1.4,0.2,0.08,52478,748,13,118,45,98.31,0.66,0.13,0.14,0.056,0.70,82.76707669,78.09495897,92.46017269,8.242692718,11.02579132,2.468685395,3.017838073,4.150058617,0.668855649,3.516196654,4.572098476,1.325550286,2.456195863,2.157092614,3.076735984
166,11384,11614,22998,7897,3453,6794,3507,1347,34.3,15,29.5,15.2,5.9,63.1,50.15928178,60.84780689,71.77074423,85.077951,36,88.9,22.8,76.1,32,89.8,44.6,95.9,70.1,98.3,99.9,0,0.1,0,0.01,22975,19,0,2,2,99.91,0.04,0.00,0.03,0.000,0.02,93.61541368,90.95469972,98.34689058,2.927842841,4.367714328,0.367357649,1.624480544,2.478972997,0.104959328,1.312806951,1.623137081,0.76095513,0.519455988,0.575475874,0.419837313
167,11184,12249,23433,6261,2822,7599,4305,2446,26.7,12,32.4,18.4,10.4,76.4,59.81573352,74.11501513,81.62601626,93.1316435,58.8,91.6,39.8,79.3,55.8,91,62.6,95.5,86.1,99,99.8,0,0.2,0,0.01,23386,40,1,3,3,97.80,0.10,0.01,0.03,0.004,2.06,91.99673336,90.56628564,94.34613725,6.337280523,7.173827355,4.963314631,0.669661086,1.024832479,0.086318515,0.82482646,1.090526869,0.388433319,0.171498571,0.144527657,0.215796288
168,29967,29823,59790,20182,9496,16976,9165,3971,33.8,15.9,28.4,15.3,6.6,68.2,60.98357203,64.16705938,74.56628478,87.53462604,52.6,83.4,48.2,74.1,45.1,81.3,57.8,91.6,79.6,96.3,53.4,0,46.5,0,0.01,31954,27828,0,0,8,99.92,0.04,0.00,0.00,0.005,0.04,94.20387353,93.63060862,95.21250611,2.290833127,2.310084407,2.256961407,1.196756718,1.438249667,0.77186126,1.554367454,1.988005331,0.791402052,0.754169175,0.633051977,0.967269174
169,14478,15585,30063,9864,4789,8733,4511,2166,32.8,15.9,29,15,7.2,46.3,35.83211526,38.16557884,58.19108845,77.1468144,34.5,56.5,30.6,41,28.2,46.5,37.4,74.7,61.5,92.1,2.4,0,97.5,0,0.02,736,29307,2,11,7,99.87,0.05,0.00,0.01,0.030,0.03,93.47826087,90.95986038,97.17900496,1.626973138,2.19895288,0.786459224,1.647743007,2.361838278,0.598392888,2.520077541,3.69982548,0.786459224,0.726945444,0.779522978,0.649683707
170,7929,9402,17331,4301,2380,4635,3093,2922,24.8,13.7,26.7,17.8,16.9,26.5,3.487394958,6.601941748,32.84836728,70.22587269,22.8,29.5,4.3,2.7,6.5,6.7,25,38.2,62.3,76.6,0.2,0,99.8,0,0.03,30,17294,2,0,5,99.62,0.06,0.01,0.04,0.000,0.28,77.8695748,73.87661843,83.35075797,11.41220533,15.34653465,6.011500261,3.745318352,4.798172125,2.300052274,3.117426746,3.789032749,2.195504443,3.855474774,2.189642041,6.14218505
171,21850,21097,42947,15338,6730,12098,6350,2431,35.7,15.7,28.2,14.8,5.7,80.9,75.3640416,78.87254092,85.4015748,94.40559441,71.1,91,65.4,85.5,66.2,91,76.9,94.6,91.8,97.9,29.3,0,43.2,27.4,0.12,12567,18558,2,11769,51,99.84,0.09,0.01,0.04,0.000,0.02,91.64193343,90.08693,95.18595759,4.86008056,6.046972701,2.155022593,1.271994912,1.601342077,0.521376434,1.399194403,1.608967516,0.921098366,0.826796693,0.655787708,1.216545012
172,13104,13046,26150,8719,4435,7127,3967,1902,33.3,17,27.3,15.2,7.3,85,80.56369786,82.71362425,88.90849508,96.21451104,75.2,94.8,69.4,91.5,69,94.6,80.9,97.5,94.3,91.3,4.7,0,88.4,7,0.00,1222,23109,0,1819,0,99.98,0.02,0.00,0.00,0.000,0.00,96.25204583,95.21470848,98.17714419,1.415711948,1.951895227,0.420659032,0.499181669,0.717793729,0.093479785,0.883797054,1.183730009,0.327179247,0.949263502,0.93187256,0.981537742
173,10435,12739,23174,5159,3330,6806,4686,3193,22.3,14.4,29.4,20.2,13.8,26.3,3.933933934,11.56332648,37.15322236,65.17381773,16.7,33.7,3.5,4.3,7.5,14.6,19.7,49.7,47.5,78.3,1.3,0.1,98.5,0,0.13,295,22834,14,0,31,98.94,0.12,0.03,0.24,0.000,0.67,79.96369038,77.73871467,83.12362692,8.4584915,10.08297005,6.151388057,4.109589041,5.667276051,1.897343719,4.225119657,4.795387428,3.415218694,3.243109424,1.715651807,5.412422608
174,20080,22724,42804,13046,6949,11573,6915,4321,30.5,16.2,27,16.2,10.1,65.8,49.05741833,62.08416141,75.57483731,86.73918075,48.3,80.1,34.8,61.8,38,78.7,55.7,91.8,78.7,95.8,3.4,0,96.5,0.1,0.03,1440,41327,1,25,11,99.94,0.03,0.00,0.00,0.005,0.03,95.24394438,94.58867435,96.25015572,1.803173979,2.17426578,1.233337486,1.007222522,1.298069122,0.560607948,1.287279517,1.492779491,0.971720444,0.6583796,0.446211261,0.984178398
175,30916,29549,60465,20469,9462,16384,9355,4795,33.9,15.6,27.1,15.5,7.9,69.3,58.22236314,64.31274414,77.70176376,92.11678832,55.6,83.3,44.2,71.8,46.5,81.6,64.1,92.2,88.5,96.5,53,0,46.9,0,0.13,32020,28340,2,24,79,99.86,0.07,0.02,0.02,0.003,0.03,90.20476718,88.48200643,93.83607286,4.902976807,5.985562991,2.621057308,1.829682307,2.313082881,0.810750777,2.001215023,2.41319353,1.132829853,1.061358682,0.80615417,1.599289205
176,16441,15748,32189,10661,5006,9605,5159,1758,33.1,15.6,29.8,16,5.5,77.4,72.99240911,73.19104633,83.54332235,94.65301479,64.1,91.2,59.6,87.1,56.9,89.6,71.6,96.2,92.2,97.5,14.7,0,33.3,51.9,0.05,4739,10735,7,16693,15,99.32,0.08,0.03,0.21,0.053,0.31,89.15123143,86.37413395,95.79020014,5.373498881,6.995765974,1.495284104,2.876721623,3.926096998,0.368069933,1.411221928,1.683987683,0.759144237,1.187326142,1.020015396,1.587301587
177,9448,11250,20698,5091,3110,6583,3720,2194,24.6,15,31.8,18,10.6,25.2,3.794212219,11.92465441,41.1827957,68.45943482,13,34.7,2.4,5.1,5.7,16.6,15.8,59.4,47.9,83.4,0.3,0,99.6,0,0.05,56,20623,8,1,10,99.45,0.11,0.00,0.05,0.010,0.38,80.7675065,76.5069797,86.30645494,8.266834036,10.7392132,5.052588163,3.765802923,5.742385787,1.196122912,4.169281808,4.362309645,3.918333677,3.030574733,2.649111675,3.526500309
178,16293,16967,33260,10738,5897,9248,5033,2344,32.3,17.7,27.8,15.1,7,75.8,70.73088011,72.81574394,79.91257699,91.85153584,62.7,87.9,59.1,82.3,54.1,87.2,67.6,92.3,88.1,96.3,18.9,0,71.1,9.9,0.02,6296,23653,0,3303,8,99.92,0.04,0.02,0.02,0.000,0.01,90.64892682,88.14277072,94.78058511,4.342914522,6.140350877,1.379654255,1.757248651,2.52066949,0.498670213,1.625455002,1.905626134,1.16356383,1.625455002,1.290582779,2.177526596
179,23352,25407,48759,16354,7705,13129,7662,3909,33.5,15.8,26.9,15.7,8,71.9,60.31148605,66.01416711,82.86348212,92.99053466,52.4,88.7,37.2,80.3,41,86,66.6,97.1,87.4,98.9,0.4,0,94.7,4.9,0.01,179,46198,0,2379,3,99.96,0.03,0.00,0.01,0.002,0.00,96.23725342,95.08489085,98.15143974,1.585251815,2.04736767,0.817632421,0.654584317,0.984448566,0.106647707,1.162221134,1.583678128,0.462140064,0.360689317,0.299614781,0.462140064
180,11675,15099,26774,7514,3936,7327,4593,3404,28.1,14.7,27.4,17.2,12.7,42.7,15.85365854,28.21072745,60.70106684,80.90481786,26.1,54.2,8.9,21.8,12.1,37.7,29.5,79.4,66.1,93.9,0.3,0,99.5,0,0.15,77,26653,3,1,40,99.80,0.06,0.03,0.05,0.000,0.06,87.42092634,83.19854992,92.02248898,4.944375773,6.246514222,3.525300106,3.053879154,4.726715003,1.230815985,2.893914055,4.099274958,1.580306944,1.686904675,1.728945901,1.641087981
181,8111,9120,17231,5080,2529,5149,2950,1523,29.5,14.7,29.9,17.1,8.8,37.2,18.78212732,27.75296174,49.86440678,75.4432042,20.6,50.9,10.5,26.6,12.7,39.3,23.6,71,58.3,90,3.6,0,96.2,0.1,0.02,625,16582,4,16,4,99.84,0.05,0.01,0.03,0.000,0.06,88.66132723,84.8599245,93.82249798,3.146453089,3.953904232,2.050175344,4.702517162,7.172660441,1.348799568,2.814645309,3.397575998,2.023199353,0.675057208,0.61593483,0.755327758
182,41654,41536,83190,25723,13488,25535,12433,6011,30.9,16.2,30.7,14.9,7.2,61.4,52.46886121,54.5486587,72.29148235,88.10514058,43.2,79.4,32.3,70.9,34.7,75.6,55.1,88.8,81.2,94.6,15.3,0,63.6,20.9,0.19,12730,52869,37,17400,154,99.34,0.29,0.06,0.14,0.037,0.13,74.28126257,67.80506233,87.14907672,8.368516285,10.46845485,4.196066657,3.787193406,5.183226294,1.013361357,9.227985525,12.74272762,2.244407747,4.33504222,3.800528901,5.397087524
183,9640,12230,21870,6343,3272,5822,3689,2744,29,15,26.6,16.9,12.5,30.6,5.317848411,11.78289248,48.68528056,76.53061224,17.7,39.7,4.1,6.5,4.9,15.8,18.2,67.5,57.1,92.3,0.2,0,99.8,0,0.05,33,21824,0,1,12,99.86,0.01,0.00,0.01,0.009,0.10,87.65178571,79.18536417,96.72586016,4.116071429,6.765619606,1.2763596,4.946428571,9.147393856,0.443951165,2.142857143,3.244735934,0.961894192,1.142857143,1.656886434,0.591934887
184,7690,7023,14713,5039,2233,4225,2436,780,34.2,15.2,28.7,16.6,5.3,86.1,83.65427676,83.17159763,90.06568144,96.53846154,77.7,95,73.7,93.1,72.7,94,83.3,97.7,94.9,99,0.4,0,65.1,34.4,0.03,61,9578,2,5067,5,99.86,0.10,0.00,0.04,0.000,0.00,93.58017319,94.40425532,91.64164164,3.613018812,2.127659574,7.107107107,0.71663183,0.936170213,0.2002002,1.388474171,1.808510638,0.4004004,0.701702001,0.723404255,0.650650651
185,33967,34168,68135,20117,10653,20526,11253,5586,29.5,15.6,30.1,16.5,8.2,47.1,32.46033981,40.25138848,57.86012619,78.94736842,34.1,59.6,28.2,36.9,26.6,53.6,39.1,74.3,65.8,90.1,14.7,0,84.8,0.1,0.37,10028,57762,22,74,249,99.39,0.14,0.02,0.08,0.010,0.36,75.35956331,70.51233576,84.31578028,7.369131221,8.616126288,5.06505982,4.020362477,5.302958692,1.650510872,8.224723236,10.75716041,3.545541874,5.026219755,4.811418849,5.423107152
186,30032,29875,59907,18544,9677,16468,9718,5500,31,16.2,27.5,16.2,9.2,66.1,54.91371293,59.48506194,75.3035604,89.43636364,53,79,42.5,68,42.1,74.8,61.5,88.5,84.4,95.7,16.2,0,83.8,0.1,0.01,9693,50177,4,30,3,99.89,0.04,0.00,0.03,0.010,0.02,92.69403242,91.35109114,95.13308724,2.552604346,3.000641849,1.738877016,0.834770611,1.043003851,0.456576647,2.476716109,3.246683783,1.078298038,1.441876509,1.358579375,1.593161065
187,65665,65389,131054,35862,20196,41081,22055,11860,27.4,15.4,31.3,16.8,9,40.9,28.75816993,33.01282831,49.72115167,72.12478921,30.7,50.8,23.3,34.5,22.7,43,35.5,63,62.7,81.4,2.5,0.1,96.9,0.1,0.40,3284,127038,97,115,520,98.48,0.25,0.08,0.25,0.007,0.94,66.17642387,63.12840031,72.65954805,12.44560211,15.43652369,6.083933449,6.611924653,7.567655918,4.579091135,7.666529018,8.429261914,6.044201639,7.099520346,5.438158171,10.63322573
188,19728,21428,41156,13469,6402,12055,6134,3096,32.7,15.6,29.3,14.9,7.5,67,54.43611371,61.58440481,77.87740463,92.86175711,42.3,88.5,27,78.5,32.7,86.8,56.7,96.6,85,99.1,25.1,0,49.1,25.8,0.01,10310,20207,4,10632,3,99.75,0.05,0.01,0.01,0.000,0.17,91.02484792,88.21080676,95.60037904,4.474688112,5.794688202,2.328414783,2.273430251,3.396886188,0.446730743,1.515620167,2.073099659,0.609178286,0.711413548,0.524519191,1.015297144
189,992,1083,2075,374,312,701,442,246,18,15,33.8,21.3,11.9,7.3,2.564102564,4.564907275,8.823529412,18.69918699,5.8,8.8,2.2,3.1,4.7,4.4,10.4,7.7,8.3,24.1,6,0.4,93,0.1,0.58,124,1929,8,2,12,96.10,2.80,0.05,0.53,0.000,0.53,6.782945736,5.202312139,10,30.91085271,29.62427746,33.52941176,29.16666667,35.40462428,16.47058824,12.30620155,14.16184971,8.529411765,20.83333333,15.60693642,31.47058824
190,31083,32329,63412,12765,8115,20183,14147,8202,20.1,12.8,31.8,22.3,12.9,26.1,12.33518176,17.47510281,31.93609953,50.90221897,20.6,31.3,10.8,13.9,14,20.9,24.2,38.3,41,60.8,20.3,0.6,78.9,0,0.17,12858,50063,380,4,107,90.55,2.78,4.82,0.87,0.000,0.98,92.9113779,90.75216847,97.17769441,4.521360419,6.296120485,1.014665757,0.899687688,1.212618133,0.281377899,0.796538781,0.888965607,0.613915416,0.871035214,0.850127303,0.912346521
191,5144,5108,10252,1553,1523,3746,2324,1106,15.1,14.9,36.5,22.7,10.8,13.5,2.823374918,10.91831287,15.0172117,33.90596745,9.8,17.3,1.7,4.3,11,10.9,7.8,21.4,23.2,42.8,19.1,0.4,75.2,1.2,4.24,1954,7705,37,121,435,87.64,7.35,2.04,1.48,0.741,0.74,20.9045584,20.42713568,22.06601467,30.51994302,35.05025126,19.49877751,13.26566952,14.44723618,10.39119804,16.75569801,19.52261307,10.02444988,18.55413105,10.55276382,38.0195599
192,7222,8769,15991,5537,2491,4124,2317,1522,34.6,15.6,25.8,14.5,9.5,51.6,21.79847451,45.92628516,72.59387139,83.8370565,37.6,61.9,13.3,28.4,25,59.3,52.3,85.6,77.8,90.9,29.6,0,70.3,0,0.02,4740,11247,0,1,3,99.80,0.02,0.01,0.01,0.000,0.16,93.88940214,91.78286853,96.26509407,2.982710835,4.332669323,1.460263971,1.148211693,1.419322709,0.842459983,1.491355418,1.967131474,0.954787981,0.488319916,0.498007968,0.47739399
193,25737,27126,52863,13799,7225,16625,9935,5279,26.1,13.7,31.4,18.8,10,17.2,6.380622837,12.9924812,22.0332159,36.37052472,13.7,20.5,6,6.8,9.7,16.1,16.5,26.7,32.7,39.7,10,0.5,85.6,0.1,3.70,5309,45274,284,38,1958,91.64,4.96,1.13,1.79,0.000,0.48,84.56239715,80.02070989,93.58710562,9.773831847,13.45567508,2.457704618,2.644368757,3.676005293,0.594421582,1.542229536,1.685554852,1.25743027,1.477172707,1.162054881,2.103337906
194,6968,6808,13776,2887,2044,5284,2576,985,21,14.8,38.4,18.7,7.2,11.9,4.256360078,9.481453444,15.76086957,30.45685279,7.5,16.4,2.7,5.9,5.5,14,10.3,20.8,24.5,35.1,13.2,2.8,77.9,1.2,4.77,1824,10738,391,166,657,83.66,3.22,4.24,8.47,0.073,0.33,8.302879696,7.922535211,9.427414691,40.47653852,44.385759,28.91844997,15.69945914,17.50782473,10.35280509,15.61175267,17.13615023,11.10468479,19.90936998,13.04773083,40.19664546
195,4574,5649,10223,3252,1420,2780,1613,1158,31.8,13.9,27.2,15.8,11.3,8.6,4.014084507,3.776978417,10.60136392,23.1433506,6.8,9.9,4.5,3.5,4.8,3.1,6.7,12.6,13.4,31.8,0.7,0,99.2,0,0.03,76,10139,1,4,3,96.02,0.03,0.01,3.86,0.000,0.08,64.83059655,44.00921659,89.397372,25.04676782,42.89554531,3.987313095,3.554354604,5.414746544,1.359311282,4.406568281,6.413210445,2.038966923,2.161712742,1.267281106,3.217036701
196,24018,24807,48825,14590,7733,14482,8005,4015,29.9,15.8,29.7,16.4,8.2,12.7,5.793353162,7.450628366,16.73953779,36.73723537,10,15.2,5.4,6.2,6.1,8.7,11.4,21.4,29,45,0.6,0.2,97.9,0.1,1.29,277,47803,83,30,632,97.43,0.21,1.45,0.51,0.010,0.39,80.81440877,77.63843971,86.095259,10.20483864,12.75163356,5.970149254,3.293079998,3.913933074,2.260755048,3.404360549,4.111939806,2.227831431,2.283312039,1.584053858,3.446005268
197,18900,19144,38044,8308,5041,12228,8045,4422,21.8,13.3,32.1,21.1,11.6,25.6,10.53362428,16.58488714,33.82224984,52.6458616,18.9,32.1,8.4,12.8,13.8,19.5,22.5,43.4,39.6,65.7,4.8,0.1,94.8,0.1,0.24,1843,36067,21,21,92,95.33,3.98,0.26,0.07,0.000,0.35,87.79665912,84.70961234,94.01015228,8.20295576,11.33448624,1.899927484,1.429740529,1.650093673,0.9862219,1.386415058,1.376279003,1.406816534,1.184229529,0.929528751,1.696881798
198,5073,7096,12169,2903,1734,3605,2233,1694,23.9,14.2,29.6,18.3,13.9,20.3,1.153402537,2.468793343,30.2731751,64.52184179,8,28.1,0.9,1.3,1.8,2.9,7.8,41.4,29.5,88.1,1,0.3,98.3,0,0.39,126,11961,31,3,48,98.07,1.08,0.14,0.64,0.000,0.07,40.37979219,20.71688943,68.64628821,38.40917234,59.20413123,8.515283843,6.288068793,9.113001215,2.227074236,5.105696883,5.619684083,4.366812227,9.817269796,5.346294046,16.24454148
199,15840,16134,35935,10175,5874,10987,6210,2689,28.3,16.3,30.6,17.3,7.5,21.5,8.85257065,16.09174479,31.85185185,47.15507624,16.5,26.2,6.8,10.8,11.3,20.5,23.3,39.2,42.4,52.2,33.2,3.1,62.5,0,1.13,11948,22465,1104,11,407,58.50,23.81,9.48,7.53,0.011,0.68,79.51386903,75.74479304,86.53783164,12.24478124,16.07346867,5.109728136,3.517300543,4.086475086,2.456600066,2.133257077,2.126724668,2.145430724,2.590792108,1.968538536,3.750409433
200,17585,18350,20288,5691,2740,5951,3238,2668,28.1,13.5,29.3,16,13.2,12.6,2.080291971,2.873466644,15.81222977,40.92953523,8,16.4,2,2.2,2.6,3.1,9.3,20,24.1,57,1.8,0,98.1,0,0.03,364,19912,5,0,7,99.11,0.13,0.04,0.12,0.000,0.60,64.57154406,49.84494859,88.51154152,21.62489895,32.36494206,4.165561157,7.892077607,11.97976171,1.247015123,2.960792239,3.525379468,2.042982223,2.950687146,2.284968174,4.032899973
201,26150,26791,52941,15010,7845,16531,9296,4259,28.4,14.8,31.2,17.6,8,19,8.234544296,13.48980703,26.10800344,44.47053299,17.1,20.8,8,8.5,11.7,15.2,23.1,28.8,42.4,46.5,11,0.4,87,0.2,1.46,5803,46070,201,94,773,65.61,4.26,5.78,22.70,0.000,1.65,81.22596249,77.81917681,88.5007459,11.4785298,15.45671538,2.983590254,2.414654455,2.782790941,1.628543013,2.715990643,2.648890959,2.859273993,2.164862614,1.292425918,4.027846842
